Timestamp, net profit USD, net profit BTC, BTC/USD, differential BTC , LTC/BTC, differential LTC,  DOGE/BTC, differential DOGE , TIPS/LTC, differential TIPS , MOON/LTC , differential MOON
Fri Mar 14 20:56:59 2014 , -5.85844459512 , 0, 625.23 , 0, 0.02650702 , 0, 1.39e-06 ,  0, 1.8e-07 , 0, 3.9e-07 ,0
Fri Mar 14 21:09:10 2014 , -5.85657251301 , 0, 625.03 , 0, 0.026507 , 0, 1.39e-06 , 0, 1.8e-07 , 0, 3.9e-07, 0
Fri Mar 14 21:10:04 2014 , -5.85657251301 , 0, 625.03 , 0, 0.026507 , 0, 1.39e-06 , 0, 1.8e-07 , 0, 3.9e-07, 0
Fri Mar 14 21:10:59 2014 , -5.8572018648 , 0, 625.03 , 0, 0.02650048 , 0, 1.39e-06 , 0, 1.8e-07 , 0, 3.9e-07, 0
Fri Mar 14 22:51:17 2014 , -5.73535607989 , 0, 625.0 , 0, 0.02660992 , 0, 1.4e-06 , 0, 1.9e-07 , 0, 3.9e-07, 0
Sat Mar 15 00:32:30 2014 , -5.82302051012 , 0, 624.77 , 0, 0.02665927 , 0, 1.39e-06 , 0, 1.7e-07 , 0, 3.9e-07, 0
Sat Mar 15 02:11:42 2014 , -6.08678093114 , 0, 624.0 , 0, 0.02650812 , 0, 1.37e-06 , 0, 1.8e-07 , 0, 3.9e-07, 0
Sat Mar 15 03:49:25 2014 , -6.07558194693 , 0, 623.93 , 0, 0.0265897 , 0, 1.37e-06 , 0, 1.8e-07 , 0, 3.9e-07, 0
Sat Mar 15 05:27:31 2014 , -6.21223975864 , 0, 623.92 , 0, 0.02652001 , 0, 1.36e-06 , 0, 1.8e-07 , 0, 3.9e-07, 0
Sat Mar 15 07:05:19 2014 , -6.07255508125 , 0, 623.51 , 0, 0.02657 , 0, 1.37e-06 , 0, 1.8e-07 , 0, 3.9e-07, 0
Sat Mar 15 08:43:31 2014 , -6.22892503298 , 0, 623.51 , 0, 0.02640223 , 0, 1.36e-06 , 0, 1.9e-07 , 0, 3.9e-07, 0
Sat Mar 15 10:22:01 2014 , -6.2003497815 , 0, 623.51 , 0, 0.02665832 , 0, 1.36e-06 , 0, 1.9e-07 , 0, 3.9e-07, 0
Sat Mar 15 12:00:36 2014 , -6.19534341724 , 0, 623.41 , 0, 0.02670002 , 0, 1.36e-06 , 0, 1.9e-07 , 0, 3.9e-07, 0
Sat Mar 15 13:38:16 2014 , -6.32243703493 , 0, 623.92 , 0, 0.02680486 , 0, 1.35e-06 , 0, 1.9e-07 , 0, 3.9e-07, 0
Sat Mar 15 15:18:28 2014 , -6.48409431358 , -0.0103412933025 , 627.01 , -0.04357521 , 0.02686019 , 0.12158647 , 1.34e-06 , 21707.9409886 , 1.9e-07 , -73658.9519152 , 3.9e-07 , 119837.424967 
Sat Mar 15 15:29:12 2014 , -6.74969313963 , -0.0107648891399 , 627.01 , -0.0449022 , 0.02683998 , 0.11952227 , 1.32e-06 , 22708.7080198 , 1.8e-07 , -62214.0630263 , 3.9e-07 , 119837.424967 
Sat Mar 15 17:09:11 2014 , -6.5627575464 , -0.010466751003 , 627.01 , -0.04487344 , 0.02694995 , 0.11729563 , 1.33e-06 , 22712.6476263 , 1.7e-07 , -50266.7689087 , 3.9e-07 , 120646.536078 
Sat Mar 15 18:47:44 2014 , -6.70035068851 , -0.0106861943007 , 627.01 , -0.04553242 , 0.02689999 , 0.11553211 , 1.32e-06 , 23213.4203535 , 1.6e-07 , -39266.7689087 , 3.9e-07 , 120646.536078 
Sat Mar 15 20:26:43 2014 , -6.56535982918 , -0.0104709013081 , 627.01 , -0.04486402 , 0.02682999 , 0.1173965 , 1.33e-06 , 22714.4622226 , 1.7e-07 , -50266.7689087 , 3.9e-07 , 120646.536078 
Sat Mar 15 22:05:31 2014 , -6.70889770928 , -0.0106943677319 , 627.33 , -0.04552432 , 0.0268499 , 0.11739977 , 1.32e-06 , 23214.9831571 , 1.7e-07 , -50266.7689087 , 3.9e-07 , 120655.964649 
Sat Mar 15 23:43:15 2014 , -6.69042871631 , -0.0106647570955 , 627.34 , -0.04552034 , 0.02699999 , 0.11712579 , 1.32e-06 , 23215.7444923 , 1.7e-07 , -50266.7689087 , 3.9e-07 , 121474.821792 
Sun Mar 16 01:22:28 2014 , -6.59631287362 , -0.0105147334358 , 627.34 , -0.04538251 , 0.02706342 , 0.11712908 , 1.32e-06 , 23217.342441 , 1.7e-07 , -50266.7689087 , 3.9e-07 , 121484.586498 
Sun Mar 16 03:00:43 2014 , -6.28492146812 , -0.0100068806613 , 628.06 , -0.04404109 , 0.0272335 , 0.11557158 , 1.34e-06 , 22219.3182844 , 1.6e-07 , -38760.7689087 , 3.9e-07 , 120684.586498 
Sun Mar 16 04:40:56 2014 , -6.53698777104 , -0.0104070618678 , 628.13 , -0.04536672 , 0.0274703 , 0.11363441 , 1.32e-06 , 23220.3486744 , 1.5e-07 , -27760.7689087 , 3.9e-07 , 121494.015069 
Sun Mar 16 06:18:44 2014 , -6.83775534322 , -0.010885892002 , 628.13 , -0.04667503 , 0.0274175 , 0.1133685 , 1.3e-06 , 24220.881264 , 1.5e-07 , -27760.7689087 , 3.9e-07 , 122313.900987 
Sun Mar 16 07:56:10 2014 , -6.64530094055 , -0.010579499372 , 628.13 , -0.046022 , 0.02784494 , 0.11364766 , 1.31e-06 , 23720.881264 , 1.5e-07 , -27760.7689087 , 3.9e-07 , 121513.900987 
Sun Mar 16 09:35:32 2014 , -6.66948652573 , -0.0105985992336 , 629.28 , -0.04601926 , 0.02770002 , 0.11365095 , 1.31e-06 , 23721.4138535 , 1.5e-07 , -27760.7689087 , 3.9e-07 , 121523.665693 
Sun Mar 16 11:14:54 2014 , -6.47461256456 , -0.0103676742427 , 624.5 , -0.0453572 , 0.02764025 , 0.11365095 , 1.32e-06 , 23222.1923638 , 1.5e-07 , -27760.7689087 , 3.9e-07 , 121523.665693 
Sun Mar 16 12:56:32 2014 , -6.18650372085 , -0.00990633101817 , 624.5 , -0.0440132 , 0.02756446 , 0.11338168 , 1.34e-06 , 22224.6496887 , 1.5e-07 , -27760.7689087 , 3.9e-07 , 122353.316317 
Sun Mar 16 14:35:21 2014 , -6.47054108136 , -0.0103611546539 , 624.5 , -0.04534019 , 0.02749999 , 0.11342469 , 1.32e-06 , 23225.41672 , 1.5e-07 , -26675.4355753 , 3.9e-07 , 122363.081023 
Sun Mar 16 19:01:04 2014 , -6.60181823423 , -0.0106053304968 , 622.5 , -0.04532943 , 0.02776529 , 0.11304704 , 1.32e-06 , 23227.4888921 , 1.5e-07 , -26675.4355753 , 3e-07 , 124391.281004 
Sun Mar 16 20:41:29 2014 , -6.78669728579 , -0.0109023249571 , 622.5 , -0.04598201 , 0.0275289 , 0.11261873 , 1.31e-06 , 23728.5424162 , 1.5e-07 , -26675.4355753 , 2.9e-07 , 125908.625831 
Sun Mar 16 22:21:29 2014 , -7.04944431532 , -0.0113244085387 , 622.5 , -0.04727764 , 0.027916 , 0.11262899 , 1.29e-06 , 24729.76418 , 1.5e-07 , -26675.4355753 , 2.9e-07 , 125917.840117 
Mon Mar 17 00:04:57 2014 , -7.55275035769 , -0.0121329323015 , 622.5 , -0.04915599 , 0.0278 , 0.11181008 , 1.26e-06 , 26236.6471663 , 1.5e-07 , -26675.4355753 , 2.7e-07 , 128936.665514 
Mon Mar 17 01:47:45 2014 , -7.64661287013 , -0.012283715454 , 622.5 , -0.04913603 , 0.02758054 , 0.11036101 , 1.26e-06 , 26240.3250027 , 1.5e-07 , -26675.4355753 , 2.3e-07 , 134948.208992 
Mon Mar 17 03:27:04 2014 , -7.64990891281 , -0.0122890103017 , 622.5 , -0.04911925 , 0.02767 , 0.11002767 , 1.26e-06 , 26242.6998083 , 1.5e-07 , -26675.4355753 , 2.2e-07 , 136460.345356 
Mon Mar 17 05:05:16 2014 , -7.84546466073 , -0.0126031560815 , 622.5 , -0.0497429 , 0.027825 , 0.10944621 , 1.25e-06 , 26743.6062599 , 1.5e-07 , -26675.4355753 , 2e-07 , 139484.618083 
Mon Mar 17 06:43:30 2014 , -8.00742391299 , -0.0128633315871 , 622.5 , -0.05036146 , 0.02785998 , 0.10944621 , 1.24e-06 , 27244.5387278 , 1.5e-07 , -26675.4355753 , 2e-07 , 139484.618083 
Mon Mar 17 08:22:16 2014 , -7.74083160205 , -0.012525617479 , 618.0 , -0.05035543 , 0.02799999 , 0.10976026 , 1.25e-06 , 27245.7710907 , 1.5e-07 , -26675.4355753 , 2.1e-07 , 137984.618083 
Mon Mar 17 10:04:36 2014 , -7.54611074779 , -0.0122123136829 , 617.91 , -0.04909542 , 0.02799999 , 0.11008927 , 1.26e-06 , 26247.5394447 , 1.5e-07 , -26675.4355753 , 2.2e-07 , 136484.618083 
Mon Mar 17 11:56:01 2014 , -6.92125207873 , -0.0112010682441 , 617.91 , -0.0465204 , 0.02787001 , 0.11011051 , 1.3e-06 , 24250.0588662 , 1.5e-07 , -26675.4355753 , 2.2e-07 , 136508.89081 
Mon Mar 17 13:36:23 2014 , -7.24336751698 , -0.0117223665534 , 617.91 , -0.04777911 , 0.02797 , 0.10948887 , 1.28e-06 , 25254.4505978 , 1.5e-07 , -26675.4355753 , 2e-07 , 139535.176524 
Mon Mar 17 15:15:13 2014 , -7.55389023367 , -0.0122249036812 , 617.91 , -0.04904448 , 0.02801841 , 0.10948887 , 1.26e-06 , 26255.6127026 , 1.5e-07 , -26675.4355753 , 2e-07 , 139535.176524 
Mon Mar 17 17:04:04 2014 , -7.93415570045 , -0.0128403095927 , 617.91 , -0.05028367 , 0.02820765 , 0.10893004 , 1.24e-06 , 27258.0646302 , 1.5e-07 , -26675.4355753 , 1.7e-07 , 142549.465998 
