Timestamp, net profit USD, net profit BTC, BTC/USD, differential BTC , LTC/BTC, differential LTC,  DOGE/BTC, differential DOGE , TIPS/LTC, differential TIPS , MOON/LTC , differential MOON
Tue Jul 08 02:38:40 2014 , -6.88400223265 , -0.0110839219306 , 621.08 , -0.02284545 , 0.01259333 , 0 , 3.6e-07 , 32670.9113039 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Jul 08 05:42:06 2014 , -6.86094767504 , -0.0110839219306 , 619.0 , -0.02284545 , 0.01223167 , 0 , 3.6e-07 , 32670.9113039 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Jul 08 08:45:31 2014 , -6.83589801148 , -0.0110839219306 , 616.74 , -0.02284545 , 0.01235 , 0 , 3.6e-07 , 32670.9113039 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Jul 08 11:48:56 2014 , -6.44139156384 , -0.0104483237045 , 616.5 , -0.02172327 , 0.01236814 , 0 , 3.8e-07 , 29670.9113039 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Jul 08 14:52:22 2014 , -6.42104089884 , -0.0104153137045 , 616.5 , -0.02093026 , 0.01223977 , 0 , 3.8e-07 , 27670.9113039 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Jul 08 17:55:47 2014 , -5.90198265263 , -0.0095851863654 , 615.74 , -0.02093026 , 0.01232779 , 0 , 4.1e-07 , 27670.9113039 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Jul 08 20:59:14 2014 , -5.70216299504 , -0.00926066683185 , 615.74 , -0.02070814 , 0.01249011 , 0 , 4.2e-07 , 27255.8884956 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Jul 09 00:02:39 2014 , -5.70216299504 , -0.00926066683185 , 615.74 , -0.02070814 , 0.01250099 , 0 , 4.2e-07 , 27255.8884956 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Jul 09 03:06:04 2014 , -5.5222544459 , -0.00898073580404 , 614.9 , -0.02049294 , 0.0127784 , 0 , 4.3e-07 , 26772.5678976 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Jul 09 06:09:30 2014 , -5.35807174497 , -0.00870580012506 , 615.46 , -0.02027275 , 0.01279999 , 0 , 4.4e-07 , 26288.5224431 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Jul 09 09:12:55 2014 , -5.32606458524 , -0.00864915731864 , 615.79 , -0.02026731 , 0.0129 , 0 , 4.4e-07 , 26404.8924576 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Jul 09 12:16:20 2014 , -5.30922029422 , -0.00862180336515 , 615.79 , -0.02026474 , 0.01256323 , 0 , 4.4e-07 , 26461.2196247 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Jul 09 15:19:45 2014 , -5.1466195923 , -0.0083577511689 , 615.79 , -0.0200403 , 0.01265001 , 0 , 4.5e-07 , 25961.2196247 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Jul 09 18:23:10 2014 , -4.98581436113 , -0.00809871897265 , 615.63 , -0.01981088 , 0.01262586 , 0 , 4.6e-07 , 25461.2196247 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Jul 09 21:26:37 2014 , -5.13800062516 , -0.00834619422225 , 615.61 , -0.02003921 , 0.01243062 , 0 , 4.5e-07 , 25984.4795061 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Jul 10 00:30:02 2014 , -5.13563206569 , -0.00834234672225 , 615.61 , -0.02003885 , 0.01248286 , 0 , 4.5e-07 , 25992.2295061 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Jul 10 03:33:27 2014 , -5.13563206569 , -0.00834234672225 , 615.61 , -0.02003885 , 0.01260719 , 0 , 4.5e-07 , 25992.2295061 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Jul 10 06:36:52 2014 , -5.61216102059 , -0.00913898780406 , 614.09 , -0.02069608 , 0.01258714 , 0 , 4.2e-07 , 27516.8861808 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Jul 10 07:38:37 2014 , -5.93850332796 , -0.00968697528377 , 613.04 , -0.02090442 , 0.0126 , 0 , 4e-07 , 28043.6117906 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Jul 10 10:42:03 2014 , -5.58148370681 , -0.00912663304796 , 611.56 , -0.02069495 , 0.01269004 , 0 , 4.2e-07 , 27543.6117906 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Jul 10 13:45:28 2014 , -5.40843493311 , -0.00884381478719 , 611.55 , -0.02047974 , 0.01267575 , 0 , 4.3e-07 , 27060.2911926 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Jul 10 16:48:53 2014 , -5.40428037678 , -0.00883991228719 , 611.35 , -0.02047937 , 0.01267346 , 0 , 4.3e-07 , 27068.5063089 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Jul 10 19:52:18 2014 , -5.23793353715 , -0.00856977722411 , 611.21 , -0.02025992 , 0.01265 , 0 , 4.4e-07 , 26568.5063089 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Jul 10 22:55:43 2014 , -5.39820069612 , -0.00883199014434 , 611.21 , -0.02047862 , 0.01269999 , 0 , 4.3e-07 , 27085.1857108 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Jul 11 01:59:08 2014 , -5.07084046205 , -0.00829639643012 , 611.21 , -0.02003473 , 0.0129 , 0 , 4.5e-07 , 26085.1857108 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Jul 11 05:02:33 2014 , -5.21227243264 , -0.00855382363607 , 609.35 , -0.02025843 , 0.01284333 , 0 , 4.4e-07 , 26601.3780999 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Jul 11 08:05:58 2014 , -5.23117638287 , -0.00855382363607 , 611.56 , -0.02025843 , 0.0127862 , 0 , 4.4e-07 , 26601.3780999 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Jul 11 11:09:23 2014 , -5.26063042902 , -0.0085498389849 , 615.29 , -0.02025806 , 0.01275401 , 0 , 4.4e-07 , 26609.5932161 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Jul 11 14:12:48 2014 , -5.42769107042 , -0.00881648241706 , 615.63 , -0.02047714 , 0.01249998 , 0 , 4.3e-07 , 27117.8083324 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Jul 11 17:16:15 2014 , -5.42769107042 , -0.00881648241706 , 615.63 , -0.02047714 , 0.01242543 , 0 , 4.3e-07 , 27117.8083324 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Jul 11 20:19:40 2014 , -5.5949596396 , -0.00908818550039 , 615.63 , -0.02069122 , 0.01252033 , 0 , 4.2e-07 , 27626.2726181 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Jul 11 23:23:05 2014 , -5.43993327052 , -0.00881246277421 , 617.3 , -0.02047676 , 0.01244308 , 0 , 4.3e-07 , 27126.2726181 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Jul 12 02:26:30 2014 , -5.60770783389 , -0.00908425050039 , 617.3 , -0.02069084 , 0.01259427 , 0 , 4.2e-07 , 27634.7369038 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Jul 12 05:29:55 2014 , -5.62841992503 , -0.00908425050039 , 619.58 , -0.02069084 , 0.01262049 , 0 , 4.2e-07 , 27634.7369038 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Jul 12 08:33:20 2014 , -5.49030260377 , -0.00880844313135 , 623.3 , -0.02047638 , 0.01261905 , 0 , 4.3e-07 , 27134.7369038 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Jul 12 11:36:45 2014 , -5.49047877264 , -0.00880844313135 , 623.32 , -0.02047638 , 0.01319858 , 0 , 4.3e-07 , 27134.7369038 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Jul 12 14:40:10 2014 , -5.49611617624 , -0.00880844313135 , 623.96 , -0.02047638 , 0.01354864 , 0 , 4.3e-07 , 27134.7369038 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Jul 12 17:43:38 2014 , -5.49484069917 , -0.0088044234885 , 624.1 , -0.020476 , 0.01376922 , 0 , 4.3e-07 , 27143.2011895 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Jul 12 20:47:03 2014 , -5.49484069917 , -0.0088044234885 , 624.1 , -0.020476 , 0.01376145 , 0 , 4.3e-07 , 27143.2011895 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sat Jul 12 23:50:28 2014 , -5.65413851157 , -0.0090683857443 , 623.5 , -0.02068575 , 0.01434621 , 0 , 4.2e-07 , 27660.391085 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Jul 13 02:53:53 2014 , -5.65232483442 , -0.0090683857443 , 623.3 , -0.02068575 , 0.0143514 , 0 , 4.2e-07 , 27660.391085 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Jul 13 05:57:18 2014 , -5.48025419879 , -0.00879232183345 , 623.3 , -0.02047129 , 0.01460998 , 0 , 4.3e-07 , 27160.391085 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Jul 13 09:00:43 2014 , -5.48025419879 , -0.00879232183345 , 623.3 , -0.02047129 , 0.01430418 , 0 , 4.3e-07 , 27160.391085 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Jul 13 12:04:08 2014 , -5.48025419879 , -0.00879232183345 , 623.3 , -0.02047129 , 0.01439967 , 0 , 4.3e-07 , 27160.391085 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Jul 13 15:07:33 2014 , -5.47896426505 , -0.00878841933345 , 623.43 , -0.02047092 , 0.01444004 , 0 , 4.3e-07 , 27168.6062013 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Jul 13 18:10:58 2014 , -5.4764582991 , -0.00878439969059 , 623.43 , -0.02047054 , 0.01441948 , 0 , 4.3e-07 , 27177.070487 , 1.2e-07 , 0 , 1.8e-07 , 0 
Sun Jul 13 21:14:24 2014 , -5.4764582991 , -0.00878439969059 , 623.43 , -0.02047054 , 0.01438209 , 0 , 4.3e-07 , 27177.070487 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Jul 14 00:17:55 2014 , -5.45124707199 , -0.00878439969059 , 620.56 , -0.02047054 , 0.01405527 , 0 , 4.3e-07 , 27177.070487 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Jul 14 03:21:20 2014 , -5.44193560832 , -0.00878439969059 , 619.5 , -0.02047054 , 0.01379199 , 0 , 4.3e-07 , 27177.070487 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Jul 14 06:24:45 2014 , -5.43754340848 , -0.00878439969059 , 619.0 , -0.02047054 , 0.01392849 , 0 , 4.3e-07 , 27177.070487 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Jul 14 09:28:10 2014 , -5.43517162056 , -0.00878439969059 , 618.73 , -0.02047054 , 0.01405337 , 0 , 4.3e-07 , 27177.070487 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Jul 14 12:31:35 2014 , -5.42875900878 , -0.00878439969059 , 618.0 , -0.02047054 , 0.01400001 , 0 , 4.3e-07 , 27177.070487 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Jul 14 15:35:03 2014 , -5.75690603373 , -0.00932670074318 , 617.25 , -0.02110208 , 0.01400529 , 0 , 4.1e-07 , 28720.4372118 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Jul 14 18:38:28 2014 , -5.75188161873 , -0.00931856074318 , 617.25 , -0.02110132 , 0.01391076 , 0 , 4.1e-07 , 28738.4372118 , 1.2e-07 , 0 , 1.8e-07 , 0 
Mon Jul 14 21:41:53 2014 , -5.73426422811 , -0.00929438574318 , 616.96 , -0.02109906 , 0.01397969 , 0 , 4.1e-07 , 28791.8884313 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Jul 15 00:45:19 2014 , -5.73426422811 , -0.00929438574318 , 616.96 , -0.02109906 , 0.01424401 , 0 , 4.1e-07 , 28791.8884313 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Jul 15 03:48:44 2014 , -5.71308410612 , -0.00928624574318 , 615.22 , -0.0210983 , 0.01398999 , 0 , 4.1e-07 , 28809.8884313 , 1.2e-07 , 0 , 1.8e-07 , 0 
