time,USD bal,BTC bal,BTC bid,BTC ask,BTC diff,LTC bid,LTC ask,LTC diff,DOGE bid,DOGE ask,DOGE diff
Wed Jul 16 02:44:46 2014 ,-6.889002904,-0.01100449,615.80121,626.01748,-0.04066272,70.922,71.58,0,2399315.9,2412512,71159.46355
Wed Jul 16 02:47:32 2014 , -6.88899795204 , -0.0110044896894 , 615.83123 , 626.01703 , -0.04066272 , 70.92200 , 71.58000 , 0.0 , 2399315.90000 , 2412512.00000 , 71159.46355 
Wed Jul 16 02:51:21 2014 , -6.89059866511 , -0.0110044896894 , 615.85128 , 626.16249 , -0.04066272 , 70.92200 , 71.58000 , 0.0 , 2399315.90000 , 2412512.00000 , 71159.46355 
Wed Jul 16 02:54:13 2014 , -6.89059899525 , -0.0110044896894 , 615.85129 , 626.16252 , -0.04066272 , 70.92200 , 71.58000 , 0.0 , 2399315.90000 , 2412512.00000 , 71159.46355 
Wed Jul 16 05:54:55 2014 , -7.41067322538 , -0.0118342399178 , 615.05007 , 626.20610 , -0.0454093 , 71.16553 , 71.74000 , 0.0 , 2461002.90000 , 2510469.10000 , 82628.32023 
Wed Jul 16 08:58:28 2014 , -7.45513397167 , -0.0119378706595 , 613.98945 , 624.49445 , -0.0454093 , 72.00589 , 73.39070 , 0.0 , 2468622.40000 , 2490000.00000 , 82628.32023 
Wed Jul 16 12:02:01 2014 , -7.50393153384 , -0.0119821509253 , 613.99945 , 626.25914 , -0.04580882 , 72.43733 , 73.60895 , 0.0 , 2472020.90000 , 2521708.60000 , 83620.23293 
Wed Jul 16 15:05:34 2014 , -7.97560855204 , -0.0127625231557 , 613.76470 , 624.92412 , -0.04619936 , 72.87664 , 73.77230 , 0.0 , 2530567.20000 , 2550000.00000 , 84614.16259 
Wed Jul 16 18:09:08 2014 , -8.11972337158 , -0.0130020226706 , 613.76470 , 624.49694 , -0.04734803 , 72.87664 , 73.72947 , 0.0 , 2553570.30000 , 2750000.00000 , 87704.94424 
Thu Jul 17 03:20:09 2014 , -8.13080798852 , -0.0130336201901 , 612.96470 , 623.83343 , -0.04732059 , 72.29832 , 73.18161 , 0.0 , 2556219.80000 , 2607599.70000 , 87645.03111 
Thu Jul 17 06:23:42 2014 , -8.13125710276 , -0.0130313477465 , 612.69177 , 623.97668 , -0.04731673 , 72.29846 , 72.87695 , 0.0 , 2556219.60000 , 2607599.60000 , 87640.96611 
Thu Jul 17 09:27:17 2014 , -6.94155963898 , -0.0111247116482 , 612.80204 , 623.97659 , -0.04241724 , 72.29826 , 73.36464 , 0.0 , 2439000.00000 , 2488023.90000 , 76322.47665 
Thu Jul 17 12:30:51 2014 , -6.9938238216 , -0.0111189569679 , 618.77502 , 628.99999 , -0.04240734 , 73.02501 , 73.77226 , 0.0 , 2438999.60000 , 2439000.00000 , 76312.3537 
Thu Jul 17 15:34:27 2014 , -6.01041981194 , -0.00958767855914 , 618.76501 , 626.89000 , -0.04156959 , 71.15543 , 72.59667 , 0.0 , 2325000.00000 , 2367268.10000 , 74357.9441 
Thu Jul 17 18:38:00 2014 , -6.20722810763 , -0.00992791165957 , 618.77504 , 625.22999 , -0.04156959 , 71.15525 , 72.59668 , 0.0 , 2350000.00000 , 2367268.10000 , 74357.9441 
Thu Jul 17 21:41:34 2014 , -5.98808042502 , -0.00958767855914 , 618.75500 , 624.55999 , -0.04156959 , 70.59056 , 71.99999 , 0.0 , 2325000.00000 , 2367268.10000 , 74357.9441 
Fri Jul 18 14:54:54 2014 , -6.4940750644 , -0.0103244438277 , 618.68818 , 628.99999 , -0.04198575 , 70.03031 , 70.95421 , 0.0 , 2380000.00000 , 2482229.40000 , 75353.90869 
Fri Jul 18 17:58:28 2014 , -6.97865786384 , -0.0110948457469 , 618.90603 , 628.99999 , -0.04280781 , 70.08600 , 70.95421 , 0.0 , 2438998.20000 , 2488022.00000 , 77347.86273 
Fri Jul 18 21:02:03 2014 , -7.07345810945 , -0.0112455615611 , 618.70827 , 628.99999 , -0.04259259 , 70.03025 , 70.95421 , 0.0 , 2451164.50000 , 2500432.90000 , 76836.72329 
Sat Jul 19 00:05:36 2014 , -7.07345810945 , -0.0112455615611 , 618.69820 , 628.99999 , -0.04259259 , 70.25638 , 71.10332 , 0.0 , 2451164.50000 , 2500432.90000 , 76836.72329 
Sat Jul 19 03:09:12 2014 , -7.10135496508 , -0.0112899126836 , 619.14080 , 628.99999 , -0.04238489 , 70.03022 , 71.65500 , 0.0 , 2454725.60000 , 2504065.60000 , 76329.63685 
Sat Jul 19 06:19:09 2014 , -7.2940031904 , -0.0115961896762 , 619.00001 , 628.99999 , -0.04258456 , 70.03022 , 71.65499 , 0.0 , 2479272.80000 , 2529106.20000 , 76828.62366 
Sat Jul 19 09:22:43 2014 , -7.48450152354 , -0.0118990485271 , 628.99999 , 629.00000 , -0.04277825 , 71.28446 , 72.55970 , 0.0 , 2504065.30000 , 2554397.00000 , 77323.5369 
Sat Jul 19 12:26:17 2014 , -7.67582572434 , -0.0122032205474 , 628.99999 , 629.00000 , -0.04297399 , 70.06500 , 72.01593 , 0.0 , 2529105.90000 , 2579940.90000 , 77822.53457 
Sat Jul 19 13:05:36 2014 , -7.67582572434 , -0.0122032205474 , 625.00000 , 629.00000 , -0.04297399 , 70.27701 , 72.30299 , 0.0 , 2529105.90000 , 2579940.90000 , 77822.53457 
Sat Jul 19 13:20:43 2014 , -7.68802894489 , -0.0122032205474 , 619.00001 , 630.00000 , -0.04297399 , 70.07101 , 72.35979 , 0.0 , 2529105.90000 , 2579940.90000 , 77822.53457 
Sat Jul 19 16:24:16 2014 , -7.88349136842 , -0.0125134783626 , 619.18030 , 630.00000 , -0.04316779 , 70.65501 , 71.90217 , 0.0 , 2554992.20000 , 2605740.30000 , 78321.52713 
Sat Jul 19 19:27:50 2014 , -7.86456357687 , -0.012483434249 , 619.14022 , 630.00000 , -0.04312902 , 70.18700 , 71.75293 , 0.0 , 2554396.00000 , 2605739.40000 , 78280.96166 
Sat Jul 19 22:31:23 2014 , -8.0547274149 , -0.012785302108 , 619.00001 , 629.99899 , -0.04331799 , 69.62803 , 71.74526 , 0.0 , 2579940.00000 , 2631796.70000 , 78772.5028 
Sun Jul 20 01:34:58 2014 , -8.0547274149 , -0.012785302108 , 619.13071 , 629.99899 , -0.04331799 , 71.01355 , 72.57014 , 0.0 , 2579940.00000 , 2631796.70000 , 78772.5028 
Sun Jul 20 04:38:31 2014 , -8.43113513107 , -0.0133846898574 , 619.00001 , 629.90889 , -0.0436942 , 71.72587 , 72.59653 , 0.0 , 2631796.50000 , 2684695.60000 , 79768.46271 
Sun Jul 20 07:42:04 2014 , -8.24269929621 , -0.0130838783329 , 618.68818 , 629.98899 , -0.04350421 , 70.78606 , 72.59653 , 0.0 , 2605739.10000 , 2631485.30000 , 79267.44766 
Sun Jul 20 10:45:38 2014 , -8.24243735696 , -0.0130838783329 , 618.68818 , 629.96897 , -0.04350421 , 70.65644 , 72.95774 , 0.0 , 2605739.10000 , 2631485.30000 , 79267.44766 
Sun Jul 20 13:49:12 2014 , -8.05250774334 , -0.0127819815002 , 618.69818 , 629.98900 , -0.04331232 , 71.74848 , 72.70009 , 0.0 , 2579939.70000 , 2631485.30000 , 78766.43235 
Sun Jul 20 16:52:45 2014 , -7.86151210308 , -0.012479007201 , 618.68818 , 629.97897 , -0.04311851 , 70.51963 , 72.68600 , 0.0 , 2554395.70000 , 2605739.00000 , 78265.4142 
Sun Jul 20 19:56:19 2014 , -7.8617620576 , -0.012479007201 , 618.68818 , 629.99900 , -0.04311851 , 70.51906 , 72.53127 , 0.0 , 2554395.70000 , 2605739.00000 , 78265.4142 
Sun Jul 20 22:59:59 2014 , -7.86151222787 , -0.012479007201 , 618.68819 , 629.97898 , -0.04311851 , 72.04377 , 73.26714 , 0.0 , 2554395.70000 , 2605739.00000 , 78265.4142 
Mon Jul 21 02:03:33 2014 , -7.86138718822 , -0.012479007201 , 618.68819 , 629.96896 , -0.04311851 , 72.63779 , 73.24394 , 0.0 , 2554395.70000 , 2605739.00000 , 78265.4142 
Mon Jul 21 05:07:06 2014 , -7.86176193281 , -0.012479007201 , 618.68819 , 629.99899 , -0.04311851 , 72.23862 , 72.73732 , 0.0 , 2554395.70000 , 2605739.00000 , 78265.4142 
Mon Jul 21 08:10:40 2014 , -7.8617620576 , -0.012479007201 , 618.68819 , 629.99900 , -0.04311851 , 71.66001 , 73.19128 , 0.0 , 2554395.70000 , 2605739.00000 , 78265.4142 
Mon Jul 21 11:14:14 2014 , -8.13723661225 , -0.0129172955069 , 618.68819 , 629.94894 , -0.04331039 , 71.88000 , 72.35364 , 0.0 , 2591523.00000 , 2627991.90000 , 78764.40342 
Mon Jul 21 11:49:47 2014 , -8.18933905657 , -0.0130004176607 , 618.68819 , 629.92892 , -0.04331039 , 71.88000 , 72.35364 , 0.0 , 2598630.00000 , 2631796.30000 , 78764.40342 
Mon Jul 21 15:33:02 2014 , -6.60338016698 , -0.0104889055466 , 618.68819 , 629.55855 , -0.04330656 , 71.66000 , 72.31000 , 0.0 , 2400000.10000 , 2618607.20000 , 78762.37397 
Mon Jul 21 18:36:36 2014 , -8.09234335283 , -0.0128450098378 , 618.68818 , 629.99900 , -0.04322251 , 71.69001 , 72.34188 , 0.0 , 2590000.00000 , 2638411.00000 , 78677.72542 
Mon Jul 21 21:40:11 2014 , -8.09182903863 , -0.0128450098378 , 618.68818 , 629.95896 , -0.04322251 , 71.69000 , 72.32340 , 0.0 , 2590000.00000 , 2638411.00000 , 78677.72542 
Tue Jul 22 00:43:46 2014 , -8.09182891018 , -0.0128450098378 , 618.68818 , 629.95895 , -0.04322251 , 71.69002 , 72.97963 , 0.0 , 2590000.00000 , 2638411.00000 , 78677.72542 
Tue Jul 22 03:47:20 2014 , -8.62831952358 , -0.0136957672322 , 618.68819 , 629.99899 , -0.04395248 , 72.00000 , 72.93986 , 0.0 , 2664795.00000 , 2718357.40000 , 80627.9369 
Tue Jul 22 06:50:53 2014 , -8.73997102853 , -0.0138736534393 , 618.68818 , 629.96896 , -0.04395248 , 72.40000 , 72.47590 , 0.0 , 2680554.60000 , 2718357.40000 , 80627.9369 
Tue Jul 22 09:54:26 2014 , -9.0023008961 , -0.0142905247147 , 618.68818 , 629.94894 , -0.04415145 , 71.69003 , 72.25999 , 0.0 , 2718357.40000 , 2772996.30000 , 81172.66722 
